Дата аукциона,Код  выпуска,Тип бумаги,Дата погашения,Дней до погашения,Объем предложения,Цена отсечения,Цена средневзвешенная,Доходность по цене отсечения,Доходность по средневзве- шенной цене,Совокупный объем спроса по номиналу,Объем размещения по номиналу,Объем выручки,Коэффициент активности,Коэффициент размещения на аукционе,source_file,Доходность по цене отсечения*,Доходность по средневзве- шенной цене*,Тип бумаги*,Доходность по цене отсечения**,Доходность по средневзве- шенной цене**,Коэффициент удовлетворения спроса на аукционе,Дата,Формат*,Тип бумаги**,Доходность по цене отсечения***,Доходность по средневзве- шенной цене***
2015-06-03 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1701.0,10000.0,98.7501,98.8233,11.79,11.77,31710.564,9999.992,10266.22523701,3.1710564,0.9999992,ofz_2015.xlsx,,,,,,,,,,,
2015-06-03 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3528.0,5000.0,98.8,98.8366,13.29,13.28,22884.536,3229.682,3317.58139529,4.5769072,0.6459364,ofz_2015.xlsx,,,,,,,,,,,
2015-06-10 00:00:00.000000000,26215RMFS,ОФЗ-ПД,2023-08-16 00:00:00.000000000,2989.0,5000.0,81.46,81.46,10.69,10.69,28396.519,4999.981,4173.63414013,5.6793038,0.9999962,ofz_2015.xlsx,,,,,,,,,,,
2015-06-10 00:00:00.000000000,26216RMFS,ОФЗ-ПД,2019-05-15 00:00:00.000000000,1435.0,10000.0,88.0,88.0875,10.78,10.75,24966.154,9898.625,8757.65998945,2.4966154,0.9898625,ofz_2015.xlsx,,,,,,,,,,,
2015-06-17 00:00:00.000000000,26212RMFS,ОФЗ-ПД,2028-01-19 00:00:00.000000000,4599.0,5000.0,75.76,75.9868,10.85,10.81,16699.768,5000.0,3927.79235,3.3399536,1.0,ofz_2015.xlsx,,,,,,,,,,,
2015-06-17 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3514.0,10000.0,98.5,98.6966,13.35,13.31,16589.229,4716.585,4861.27089146,1.6589229,0.4716585,ofz_2015.xlsx,,,,,,,,,,,
2015-06-24 00:00:00.000000000,26215RMFS,ОФЗ-ПД,2023-08-16 00:00:00.000000000,2975.0,7493.8,80.31,80.4563,10.96,10.92,23646.083,7493.796,6200.23971588,3.1554195468254,0.99999946622541,ofz_2015.xlsx,,,,,,,,,,,
2015-06-24 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1799.0,10000.0,83.4751,83.7603,11.1,11.01,14901.066,6199.839,5215.82028444,1.4901066,0.6199839,ofz_2015.xlsx,,,,,,,,,,,
2015-07-01 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,910.0,15000.0,101.9,102.0561,14.85,14.77,39678.11,14999.996,15308.40844318,2.6452073333333,0.99999973333333,ofz_2015.xlsx,,,,,,,,,,,
2015-07-08 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1666.0,10000.0,100.5611,100.6289,11.26,11.24,25365.413,9999.996,10553.38507865,2.5365413,0.9999996,ofz_2015.xlsx,,,,,,,,,,,
